11,Drake partners with Live Nation to open new Toronto music venue CTV Toronto  ol li Drake partners with Live Nation to open new Toronto music venue CTV Toronto r n li li Drake to open new live entertainment venue in Toronto NME com r n li li New concert venue planned for the Beach a needed addition to Toronto s music scene council  TORONTO r nToronto will see a new music venue open its doors before the end of the year r nOn Tuesday Live Nation announced that they have partnered with Canadian rapper and songwriter Drake to ope 1313 chars ,,,neutral
12,Ask HN Which book or course gave you an unfair advantage  Comments I dont have an exact book or course to recommend but rather how to approach school courses I m Canadian and went thru post secondary in Canada This is coming from someone who did not program for 852 chars ,,recommend advantage,neutral
13,What you need to know about COVID 19 in Ottawa on Friday July 2 CBC ca  ol li What you need to know about COVID 19 in Ottawa on Friday July 2 CBC ca r n li li COVID 19 Ottawa reports five new cases no new deaths Ottawa Citizen r n li li COVID 19 in Ontario Nearly half of Toronto adults fully vaccinated as Waterloo expands  Recent developments r n ul li Ottawa reported five more COVID 19 cases Thursday li ul What s the latest r nOttawa Public Health OPH reported five more COVID 19 cases on Canada Day but no more d 8426 chars ,,,neutral
14,My Long Overdue Education about Canadian Residential Schools A Times Canada correspondent recalls how meeting an Indigenous chef gave him a powerful and belated history lesson about Canada s mistreatment of Indigenous people  Mr Wawatay said Some parents drank because their kids were gone Many had feared that if they didnt send their kids to the schools they would be arrested As a result of the residential schools w 3536 chars ,belated,powerful,positive
15,No chance to be children life in Canada s residential schools Reuters Snatched up in cattle carts and by bus tens of thousands of indigenous children taken to Canadian residential schools run mostly by the Catholic Church lived a paramilitary lifestyle waking early to pray waiting rigidly in lines and enduring regular beat  Snatched up in cattle carts and by bus tens of thousands of indigenous children taken to Canadian residential schools run mostly by the Catholic Church lived a paramilitary lifestyle waking early t 5189 chars ,,,negative
16,Skin in the game Video chat apps tout inclusive AI features Reuters Video conferencing services have for years boasted that their technology is intuitive to use or integrated to function with other tools but now vendors such as Google and Cisco can hardly go a blog post without trumpeting a different attribute inclusiv  Video conferencing services have for years boasted that their technology is intuitive to use or integrated to function with other tools but now vendors such as Google and Cisco can hardly go a b 5690 chars ,tout,integrated intuitive,positive
17,U S To Expand Passport Gender Markers For Nonbinary Intersex Americans For the first time the State Department will allow people to obtain passports and IDs using a gender neutral X marker instead of M or F  The State Department announced on Wednesday that the agency has begun the process of updating passport issuing procedures to better include the LGBTQ community such as working toward adding a gender 5794 chars ,,better,positive
18,Looking to grow your business and hire Please ditch the jargon Gene Marks There s no benefit to using jargon in job ads Applicants can smell the BS and this can cost you potential employeeAre you looking to hire a team player a self starter or someone proactive to take it to the next level Well maybe you should stop  Are you looking to hire a team player a self starter or someone proactive to take it to the next level Well maybe you should stop r nThe labor market is tight and small businesses across the count 2696 chars ,smell,benefit proactive,positive
19,Friday briefing Labour s wafer thin win in Batley and Spen Byelection result gives Keir Starmer breathing room school funding in deprived areas falls the great jelly baby shortage of 2021 Good morning I m Graham Russell and welcome to Friday and the stories making the news so far today Continue reading  Top story Theyve voted for hope r nGood morning Im Graham Russell and welcome to Friday and the stories making the news so far today r nKim Leadbeater has been hailed as brilliant and brave by Labour 9838 chars ,falls shortage deprived,brave welcome win brilliant great,negative
20,The coloniality of Canadian Islamophobia and anti Islamophobia In Canada anti Islamophobia is being used as yet another tool to consolidate the Islamophobic status quo  In the wake of the latest fatal targeted assault on Muslims in Canada the third in four years anti Islamophobia is being used as yet another tool to consolidate the Islamophobic status quo r nPolitica 9180 chars ,assault fatal,,neutral
21,Google Workspace now open to everyone Workspace Individual ready There is no stopping Google from working on products and services that are important to many people It s not just focused on the Android community but also things that concern schooling work businesses and productivity In the latter part of 2020 it has  There is no stopping Google from working on products and services that are important to many people It s not just focused on the Android community but also things that concern schooling work busin 1947 chars ,concern,ready work important,positive
22,OnTheMarket goes into profit as house prices soar in Covid crisis Property portal which is majority owned by estate agents is helped by the stamp duty holidayProperty website OnTheMarket has reported its first annual profit since being launched by a group of estate agents six years ago as the UK housing market enjoyed a  Property website OnTheMarket has reported its first annual profit since being launched by a group of estate agents six years ago as the UK housing market enjoyed a boom fuelled by working from home 2628 chars ,crisis,helped boom enjoyed,positive
23, I don t feel any the wiser uncertainty as wedding Covid rules eased In theory couples in England can invite full guest list from 21 June but it is not so straightforward ul li Weddings with more than 30 people can go ahead as England s Covid limit lifted li li Coronavirus latest updates li ul After months of having  After months of having to choose just 30 close relatives and friends to celebrate their nuptials with couples in England will in theory be allowed to invite their full guest list from 21 June r nBut 2961 chars ,limit,straightforward eased celebrate,positive
24,Prime Minister Sask premier mourn death of RCMP officer killed on duty CTV News  ol li Prime Minister Sask premier mourn death of RCMP officer killed on duty CTV News r n li li RCMP officer in Saskatchewan dies while on duty CityNews r n li li Collision Holds Up Traffic at Crossroads Discoverweyburn com DiscoverWeyburn com r n li  REGINA r nOfficials and community members from Saskatchewan and across Canada are sharing messages of mourning after an RCMP officer was killed on duty Saturday r nVery sad news from Saskatchewan to 3625 chars ,mourn death sad dies killed,premier,neutral
25,Nova Scotia administers one millionth COVID 19 vaccine moves up eligibility CTV News Atlantic  ol li Nova Scotia administers one millionth COVID 19 vaccine moves up eligibility CTV News Atlantic r n li li 1 millionth COVID 19 vaccine delivered in Nova Scotia CBC ca r n li li Farmers Markets of Nova Scotia expanding its food bucks program Globa  HALIFAX r nNova Scotia hit a major vaccine milestone by delivering the provinces one millionth dose of COVID 19 vaccine on Sunday r nN S Premier Iain Rankin toured the IWK hospital s vaccination cl 2592 chars ,,,neutral
26,McDavid Matthews MacKinnon named finalists for Hart Trophy Sportsnet ca  ol li McDavid Matthews MacKinnon named finalists for Hart Trophy Sportsnet ca r n li li MacKinnon Matthews McDavid Named Finalists for 2021 Hart Memorial Trophy Bleacher Report r n li li Nathan MacKinnon Auston Matthews Connor McDavid voted Hart Tro  Connor McDavid of the Edmonton Oilers Auston Matthews of the Toronto Maple Leafs and Nathan MacKinnon of the Colorado Avalanche are the three finalists for the 2020 21 Hart Memorial Trophy the NHL 2562 chars ,,,neutral
27,Study seeks to solve mystery of where salmon go when they are out to sea Indigenous knowledge and high tech gadgets will help scientists learn more about where salmon go once they re far from shore  It s a bit of a mystery where salmon go when they re far off the coast r nBut with the help of Indigenous knowledge and tracking devices scientists hope to change that r nThe Department of Fisheries 3731 chars ,mystery,,neutral
28,Rewilding part two In this edition we examine the natural forces at play in Europe where abandoned farmland is increasingly being reclaimed by wildlife We also hear about Rewilding in an urban context  In this edition we examine the natural forces at play in Europe where abandoned farmland is increasingly being reclaimed by wildlife We also hear about Rewilding in an urban context r nAlso how has 491 chars ,,,neutral
29,Blue green algae confirmed in Grand Lake N S  Toxins associated with blue green algae have been confirmed in Grand Lake N S but the province s Department of Environment is still awaiting further test results  Toxins associated with blue green algae have been confirmed in Grand Lake N S but the province s Department of Environment is awaiting further test results for pesticides and other chemical contam 3585 chars ,,,negative
30,Rent control provision quietly softened by N S Liberals 2 days after announcement Two days after Nova Scotia s Liberals announced temporary rent caps in response to evictions and fast rising rents amid the pandemic they quietly decreased how broadly the controls applied  Two days after Nova Scotia s Liberals announced temporary rent caps in response to evictions and fast rising rents amid the pandemic they quietly decreased how broadly the controls applied r nOn Nov 3688 chars ,,fast,positive
31,N S data on breakthrough cases proves COVID 19 vaccines are working expert says Initial data provided on Friday shows that people who received one dose of the vaccine made up less than five per cent of the overall cases during Nova Scotia s third wave People who had received both doses made up less than one per cent  Initial data on breakthrough cases proves that COVID 19 vaccines are working in Nova Scotia according to a researcher at Dalhousie University r nPeople are considered a breakthrough case when they 3418 chars ,,breakthrough proves,neutral
32,Major Drilling Announces Annual and Fourth Quarter Results MONCTON New Brunswick June 14 2021 GLOBE NEWSWIRE Major Drilling Group International Inc TSX MDI a leading provider of specialized drilling  MONCTON New Brunswick June 14 2021 GLOBE NEWSWIRE Major Drilling Group International Inc TSX MDI a leading provider of specialized drilling services to the mining sector Major Drilling 60267 chars ,,leading,negative
33,Media Advisory Ministers Alghabra and LeBlanc to make an announcement at the Greater Moncton Rom o LeBlanc International Airport The Minister of Transport the Honourable Omar Alghabra and the Minister of Intergovernmental Affairs and Member of Parliament for Beaus jour the Honorable  Moncton NB June 30 2021 CNW The Minister of Transport the Honourable Omar Alghabra and the Minister of Intergovernmental Affairs and Member of Parliament for Beaus jour the Honorable Domini 751 chars ,,,neutral
34,Government of Canada providing financial support to the Greater Moncton Rom o LeBlanc International Airport to help maintain essential airport operations The global COVID 19 pandemic has had an unprecedented impact on the air sector in Canada Airports have experienced major decreases in traffic over the past  OTTAWA ON July 2 2021 CNW The global COVID 19 pandemic has had an unprecedented impact on the air sector in Canada Airports have experienced major decreases in traffic over the past 15 months 4342 chars ,,support,positive
35,AJAs Announces 2020 Gold and Silver Winners The Atlantic Journalism Awards AJAs is pleased to announce the gold and silver winners in the 2020 competition More information at www AJAs ca  HALIFAX NS June 8 2021 CNW The Atlantic Journalism Awards AJAs is pleased to announce the gold and silver winners in the 2020 competition More information at www AJAs ca r nView listen to al 9429 chars ,,gold winners pleased,positive
36,Charges laid in alleged anti Asian incident at Steveston coffee shop Richmond RCMP were called to Rocanini coffee shop in the 3900 block Moncton Street on March 29 after the store manager reported an alleged assault involving racial slurs  Charges have been laid against two people who allegedly hurled racial slurs at staff at a Steveston coffee shop r nRichmond RCMP were called to Rocanini coffee shop in the 3900 block Moncton Street on 757 chars ,assault,,neutral
37,House of Commons Defence committee rises without report on allegations against Vance Global News  ol li House of Commons Defence committee rises without report on allegations against Vance Global News r n li li Liberal MPs issue their own recommendations on military sexual misconduct bypassing the opposition CBC ca r n li li Defence committee rises  The House of Commons defence committee on Monday ended months of hearings on the Liberal government s handling of sexual misconduct allegations involving senior military commanders without producing 5808 chars ,opposition issue allegations,recommendations,negative
38,Nova Scotia to enter Phase 3 of reopening plan allowing travellers from outside Atlantic Canada CTV News Atlantic  ol li Nova Scotia to enter Phase 3 of reopening plan allowing travellers from outside Atlantic Canada CTV News Atlantic r n li li N S reports 1 new case young adults urged to get COVID 19 vaccine CBC ca r n li li Nova Scotia expected to enter third pha  HALIFAX r nNova Scotia Premier Iain Rankin announced Tuesday the province will move into Phase 3 of the government s five step reopening plan which eases numerous health orders including on trave 6098 chars ,,eases,negative
39,One death 8 new COVID 19 cases and 2 identified Delta variants announced Friday HalifaxToday ca  ol li One death 8 new COVID 19 cases and 2 identified Delta variants announced Friday HalifaxToday ca r n li li Man in his 50s dies of COVID Nova Scotia announces 8 new cases CBC ca r n li li N S reports one COVID 19 related death eight new cases Frid  NEWS RELEASECOVID 19 HEALTH WELLNESS Today June 11 Nova Scotia is reporting a death related to COVID 19 A man in his 50s has died in Central Zone Nova Scotia is also report 5496 chars ,death died dies,,neutral
40, We will not settle for good enough N B won t move into phase one of reopening until vaccination goal met CTV News Atlantic  ol li We will not settle for good enough N B won t move into phase one of reopening until vaccination goal met CTV News Atlantic r n li li N B COVID 19 roundup Vaccination numbers up but province far from Monday s target CBC ca r n li li N B makes  HALIFAX r nNew Brunswick will not be entering phase one of its reopening plan on Monday as the province has not met its vaccination goal r n Until we have 75 per cent of New Brunswickers with at le 4724 chars ,,good won enough,neutral
41,13 new COVID 19 cases plus additional case connected to Citadel High School announced Wednesday HalifaxToday ca  ol li 13 new COVID 19 cases plus additional case connected to Citadel High School announced Wednesday HalifaxToday ca r n li li Nova Scotia speeds up vaccine rollout reports 13 new COVID 19 cases Wednesday CTV News Atlantic r n li li N S reports 13 new  NEWS RELEASECOVID 19 HEALTH WELLNESS Today June 9 Nova Scotia is reporting 13 new cases of COVID 19 and 20 recoveries There are seven new cases in Central Zone Two of the c 5538 chars ,,,neutral
42,Choose Canada as a Study destination Canada is one of the most sought countries for studies They offer varieties programs thus catering to the needs of almost all the students One must Abroad Education Consultants CHOOSE CANADA AS A STUDY DESTINATION Because of various reasons Canada is one of the most sought countries for studies They offer varieties programs thus catering to the 1901 chars ,,,neutral
43,52 Women Led Startups Driving The Future Of HealthTech And FemTech To all the VCs and angel investors who have been missing out on funding the next generation of women led startups driving the future of healthcare and FemTech here s a list of 52 startups to follow right now  The Hero Arm developed by Open Bionics cofounded by Samantha Payne is the worlds first clinically approved 3D printed bionic arm with multi grip functionality and empowering aesthetics r n 13957 chars ,,led angel right,positive
44,Over 500 000 Are Eligible For Student Loan Forgiveness But The Government Hasn t Acted Group Says Over half a million student loan borrowers may be entitled to have their student debt cancelled under federal law but the U S Department of Education has not acted  CARBIS BAY CORNWALL JUNE 11 US President Joe Biden attends the G7 Summit In Carbis Bay on June 11 2021 in Carbis Bay Cornwall UK Prime Minister Boris Johnson hosts leaders from the 3853 chars ,debt,,neutral
45,Foreign languages in Punjab govt schools Mandarin course remains stillborn first batch of teachers set to test Japanese skills Amarinder Thursday asked the state education department to consider teaching foreign language such as Chinese Arabic and French in schools to help improve the chances of students employability globally  The officials in the Punjab education department have taken with a pinch of salt Chief Minister Capt Amarinder Singh s suggestion of offering a course in foreign languages as an optional subject in s 4564 chars ,pinch,improve,negative
46,America world s sole cyber superpower ten years ahead of China says Brit think tank UK Australia Russia ranked in second tier North Korea and Iran are a step down but feisty nThe United States is comfortably the world s most powerful nation when measured on cyber capabilities that make the greatest difference to national power according  The United States is comfortably the worlds most powerful nation when measured on cyber capabilities that make the greatest difference to national power according to British think tank The Internati 4792 chars ,tank,feisty comfortably greatest powerful,positive
47,5th Circuit set to referee egregious 12th Man copyright case Reuters Despite a U S Supreme Court ruling last year that protects states against copyright infringement lawsuits sports historian Michael Bynum will ask a federal appeals court on Tuesday to revive his suit against Texas A M University for literally retyping post  Texas A amp M Aggies running back Devon Achane Sam Navarro USA TODAY SportsThe company and law firm names shown above are generated automatically based on the text of the article We are improving t 5476 chars ,egregious infringement,revive improving,negative
48,Falwell Liberty University lawsuit is excuse to shame him Jerry Falwell Jr is asking a court in Virginia to dismiss the lawsuit Liberty University filed over his headline grabbing departure last year as leader of the evangelical school LYNCHBURG Va Jerry Falwell Jr is asking a court in Virginia to dismiss a lawsuit Liberty University filed over his headline grabbing departure last year as leader of the evangelical school his 1830 chars ,shame excuse,,neutral
49,John M Patterson Segregationist Alabama Governor Dies at 99 He welcomed the Klan and refused to integrate schools forging a path that would be followed by Gov George C Wallace  John Malcolm Patterson was born in Goldville on Sept 27 1921 one of six children two of whom would die in childhood of Albert and Agnes Benson Patterson His parents were schoolteachers but h 2597 chars ,die refused,,negative
50,The Canadians who thought residential schools were a good idea National Post  ol li The Canadians who thought residential schools were a good idea National Post r n li li Canadian university won t replace torn down statue of Egerton Ryerson residential school architect Global News r n li li Activists in Canada topple statue dema  Tristin Hopper r nBefore and after photos of Thomas Moore an 1891 student at the Regina Indian Residential School These photos were included in an 1896 Department of Indian Affairs report touting the 11582 chars ,topple,good won,positive
51,FutureLearn is an online learning platform with over 1 000 courses from top schools and organizations here are 14 popular free classes Summary List Placement n nOnline education especially massive open online courses MOOCs is a great way to try out classes before pursuing a degree affordably advance your career or just relax in a way that s more engaging than a passive Netflix binge nLik  If you buy through our links we may earn money from affiliate partners Learn more r nOnline education especially massive open online courses MOOCs is a great way to try out classes before pursui 582 chars ,passive,affordably engaging top free popular great,neutral
52, Sometimes we get forgotten about  A bronze sculpture of a tin miner overlooks a short strip of budget food and clothing stores and boarded up businesses in Cornwall s Redruth It s a celebration of the town s proud mining history but also a reminder of its decline A surgical mask on the st  Redruth EnglandA bronze sculpture of a tin miner overlooks a short strip of budget food and clothing stores and boarded up businesses in Cornwall s Redruth It s a celebration of the town s proud m 8864 chars ,decline,proud celebration,positive
53, I just want what everyone else has what homeless people told Jennifer Kavanagh about their lives For 15 months the author walked around London telling the story of its streets speaking to living statues sex workers drug dealers security guards cleaners and those who sleep out every nightOn a damp Tuesday lunchtime at the north end of Regent Street  On a damp Tuesday lunchtime at the north end of Regent Street George is working his beat as one of one of Londons Big Issue sellers I have not come to interview him but his experience is so releva 12275 chars ,,,neutral
54,COVID 19 Live Updates News on coronavirus in Calgary for June 10 Calgary Herald  ol li COVID 19 Live Updates News on coronavirus in Calgary for June 10 Calgary Herald r n li li Alberta premier Kenney provides update on COVID 19 as province moves into Stage 2 LIVE Global News r n li li COVID 19 Alberta moves into Stage 2 of reopeni  Watch this page throughout the day for updates on COVID 19 in Calgary r nNewsroom Staff r nGoodlife Fitness clients line up as they wait for the doors to open on the downtown Calgary location on Thursda 24752 chars ,,premier,positive
55,Moments You Missed As The G 7 Leaders Meet For The 1st Time Since COVID 19 The dynamics on display between the leaders can give clues on relationships and the status of talks on the world s weightiest issues  U S President Joe Biden and First Lady Jill Biden pose with Britain s Prime Minister Boris Johnson and his wife Carrie Johnson as they arrive for the G7 summit in Carbis Bay Cornwall r nPHIL NOBLE P 3684 chars ,issues,,neutral
56,How Bitcoin Has Fueled Ransomware Attacks If you re planning a multi million dollar ransomware attack there s really only one way to collect with cryptocurrency It s fast It s easy Best of all it s largely anonymous and hard to trace  As ransomware cases surge the cyber criminals almost almost always demand and receive payment in cryptocurrencies like Bitcoin The world s largest meat supplier JBS announced Wednesday that it 5393 chars ,attack hard,like easy fast,neutral
57,German prosecutors arrest man on suspician of Russian espionage Reuters German prosecutors on Monday said they arrested a university research assistant accused of working for the Russian secret service  BERLIN June 21 Reuters German prosecutors on Monday said they arrested a university research assistant accused of working for the Russian secret service r nThe man identified as Ilnur N accord 480 chars ,,,neutral
58,Hungary appears to back pedal on Chinese university plans after protests Reuters Hungary appeared to backtrack on plans to build a Chinese university in the capital Budapest after thousands took to the streets at the weekend accusing the government of cosying up to Beijing provoking an angry Chinese response  Demonstrators protest against the planned Chinese Fudan University campus in Budapest Hungary June 5 2021 REUTERS Bernadett SzaboHungary appeared to backtrack on plans to build a Chinese universi 2559 chars ,protests accusing angry protest,,neutral
59,Hungary PM Orban confirms referendum on China university after protest Reuters Hungary s nationalist premier Viktor Orban confirmed on Thursday that there would be a referendum on a planned establishment of a campus for Chinese Fudan university which has triggered a protest over the weekend  Demonstrators protest against the planned Chinese Fudan University campus in Budapest Hungary June 5 2021 REUTERS Bernadett SzaboHungary s nationalist premier Viktor Orban confirmed on Thursday t 433 chars ,protest,premier,positive
60,Oxford University explores anti parasitic drug ivermectin as COVID 19 treatment Reuters The University of Oxford said on Wednesday it was testing anti parasitic drug ivermectin as a possible treatment for COVID 19 as part of a British government backed study that aims to aid recoveries in non hospital settings  A box of the drug Ivermectine made by Biogaran is pictured on the counter of a pharmacy as the spread of the coronavirus disease COVID 19 continues in Paris France April 28 2020 REUTERS Ben 1665 chars ,,,neutral
61,Cravath donates 6 mln to Fisk University civil rights groups Reuters Cravath Swaine Moore is donating 6 million to Tennessee based Fisk University and four civil rights organizations the firm said Tuesday  Cravath Swaine amp Moore offices in New York REUTERS Andrew KellyThe company and law firm names shown above are generated automatically based on the text of the article We are improving this fea 2366 chars ,,improving,neutral
62,RCMP charge 2 people in alleged anti Asian incident at Steveston coffee shop Richmond RCMP say two people have been charged after they allegedly made racial slurs at a staff at a coffee shop Steveston in March  Richmond RCMP say two people have been charged after they allegedly made racial slurs toward a staff member at Rocanini Coffee Roasters in Steveston in March r nAt about 3 15 p m on March 29 police 648 chars ,,,negative
63,Marissa Shephard pleads guilty to manslaughter arson in brutal slaying of N B teen MONCTON N B A New Brunswick woman has pleaded guilty to manslaughter and arson in the brutal slaying of 18 year old Baylee Wylie of Moncton  MONCTON N B A New Brunswick woman has pleaded guilty to manslaughter and arson in the brutal slaying of 18 year old Baylee Wylie of Moncton r nLawyer Gilles Lemieux says his client Marissa Shepha 768 chars ,brutal guilty,,negative
64,MPs call on Nav Canada to give up 7M in bonuses paid out during pandemic Politicians are calling on executives and management at Nav Canada to pay back 7 million in bonuses they received last year during the pandemic while the private non profit was tapping into government aid and warning of possible layoffs  Politicians are calling on executives and management at Nav Canada to pay back 7 million in bonuses they received last year during the pandemic while the private non profit was tapping into governm 4685 chars ,warning,bonuses,neutral
65,N B COVID 19 roundup Vaccination numbers up but province far from Monday s target Yahoo News Canada New Brunswick s vaccination rate continues to increase but the province is still far from meeting its goals for reopening On Saturday Public Health  More than 44 000 New Brunswickers would have to get a shot before midnight on Monday for the province to hit the target for loosening of restrictions Robert Short CBC image credit r nNew Brunswick 4697 chars ,,,negative
66,2021 Sobey Art Award Announces the Five Shortlist Artists From Across Canada The Sobey Art Foundation and the National Gallery of Canada are honoured to announce the five artists shortlisted for the 2021 Sobey Art Award Globally  OTTAWA ON June 9 2021 CNW The Sobey Art Foundation and the National Gallery of Canada are honoured to announce the five artists shortlisted for the 2021 Sobey Art Award Globally recognized as 3736 chars ,,,negative
67,Shrinking giants North Atlantic right whales getting tinier One of the giants of the deep is shrinking before our eyes a new study says The younger generation of critically endangered North Atlantic right whales are on average about three feet shorter than whales were 20 years ago drone and aircraft data show in a  One of the giants of the deep is shrinking before our eyes a new study says r nThe younger generation of critically endangered North Atlantic right whales are on average about three feet shorter than 3655 chars ,,right,neutral
68,Covid 19 Australia NSW records 19 cases overnight as Sydney enters its third day of lockdown New South Wales has recorded 19 cases overnight as Sydney endures its third day of a hard Covid 19 lockdown  New South Wales has recorded 19 cases overnight as Sydney endures its third day of a hard 14 day Covid 19 lockdown r nAll but two of the new cases were linked to known outbreaks but only seven were i 23620 chars ,hard,,neutral
69, Vaxxed and waxed baby Summer heats up for single dosed singles Dawson Creek Mirror It s been a long lockdown on love for Emma Sykora But as temperatures climb and more Canadians roll up their sleeves for the first dose of the COVID 19 vaccine Sykora is starting to think she has a shot at something special this summer  It s been a long lockdown on love for Emma Sykora But as temperatures climb and more Canadians roll up their sleeves for the first dose of the COVID 19 vaccine Sykora is starting to think she has a 5477 chars ,,love,neutral
70,Teen killer and serial rapist Paul Bernardo denied parole for 2nd time News 1130  ol li Teen killer and serial rapist Paul Bernardo denied parole for 2nd time News 1130 r n li li Paul Bernardo denied 2nd attempt at parole after victims families speak out CBC ca r n li li Notorious killer and rapist Paul Bernardo to attend parole heari  TORONTO Teen killer and serial rapist Paul Bernardo failed in his second parole bid on Tuesday after the parents of two of his victims recounted the enduring pain of his twisted crimes and warned h 4998 chars ,killer failed warned pain twisted denied,,neutral
71,Gardening in the sun Bring on the drought The Sudbury Star  Can you recommend a plant that I can grow in a cemetery is a question almost as old as time  Mark and Ben Cullen r nMark Cullen planted lamium in his pollinator garden 15 years ago and he works hard to retain it It is a great groundcover where nothing else will grow Grows to 30 cm or 12 inch 5298 chars ,hard drought,works recommend great,neutral
72,Analysis Chinese flock to home grown brands in golden opportunity for investors Reuters He Shuang a student at a U S university stranded in her home city of Chongqing in southwest China during the pandemic has added more than 300 domestic brands to her list of favourites on Alibaba s 9988 HK Taobao online mall  BEIJING HONG KONG June 28 Reuters He Shuang a student at a U S university stranded in her home city of Chongqing in southwest China during the pandemic has added more than 300 domestic brands 4300 chars ,,golden,negative
73,Tennis Vaccine developer Gilbert among guests given standing ovation at Wimbledon Reuters Wimbledon spectators on Monday paid tribute to Sarah Gilbert the Oxford University professor who co designed the Oxford AstraZeneca vaccine giving her a standing ovation on Centre Court before play began in the annual tennis tournament  By Reuters Staff r nJune 28 Reuters Wimbledon spectators on Monday paid tribute to Sarah Gilbert the Oxford University professor who co designed the Oxford AstraZeneca vaccine giving her a standi 908 chars ,,ovation,neutral
74,Driverless shuttle bus hits the road at University of Waterloo campus Yahoo News Canada Students at the University of Waterloo will soon be able to ride to class in style on a driverless shuttle bus dubbed the WATonoBus The WATonoBus system  The University of Waterloo says the WATonoBus is the first self driving shuttle bus at a Canadian university Paula Duhatschek CBC image credit r nStudents at the University of Waterloo will soon b 1905 chars ,,,positive
